ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90091,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90093,Los Angeles ,1,3,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90094,Playa Vista ,1,0,1,1,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,35,4.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1132,1271,110
90095,Los Angeles ,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90099,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90210,Beverly Hills/Beverly Glen  ,1,0,2,4,1,5,0,0,0,0,0,0,,0,1,0,4,1,1,0,6.5,0,0,0,0,0,0,0,277,152,36,-0.299767004,-0.230014322,-0.239490972,2197,8,15
90230,Culver City ,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,2,0,7.6,0.015235457,0,0,1,0,2,0,1524,678,148,0.526405876,0.47543941,0.452181948,605,118,6
90247,Gardena ,1,0,0,0,0,0,0,0,0,1,1586,523.38,0.33,1,0,1,2,1,3,1,9.1,0,0,0,0,0,3,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,408,38,7
90248,Gardena ,1,5,2,1,2,4,7,0,0,0,0,0,,1,1,4,2,0,2,0,8,0,0,0,0,0,0,0,205,18,3,-0.347469046,-0.409730672,-0.443287457,235,314,11
90249,Gardena ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,1,2,1,0,8.1,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
